pretty_comp,formation_energy_peratom
SnPt3C,0.34496
Co(CuO2)4,-0.60647
V3Ga,-0.16197999999999999
TiCoSi,-0.73569
Ho4Sb3,-0.98479
BaVBi,0.71639
NiSe,-0.21919
Li3Co3OF7,-2.21011
NdCdAu2,-0.69719
Sm(FeSi)2,-0.6441
LiAlB4,-0.10315
BeGeB,0.75552
SmPt3,-0.96741
BaGa2,-0.5303399999999999
Ac3Hg,-0.04583
Sc5Pb3,-0.4928300000000001
CuH,0.1519
Ti2NiSe4,-0.97545
SiWCl2,0.88376
SrCuSeF,-2.16561
NbAgO3,-1.90872
Cr2FeSe4,-0.38391
BaAlCuBiO5,-1.71278
NaSnO,-1.2499
RbH2N,-0.38291
NdSmO2,-2.99328
BaLiSe4,-0.5322
NdAsSe,-1.5294299999999998
TaCr2,-0.10983
Sr3CdO4,-2.5451900000000003
Ba2Lu(CuO2)3,-2.11911
Y(TiS2)2,-1.53661
AuSe,-0.07314
CeSiNi,-0.72859
UGa5Co,-0.3046
Tb2Mo2O7,-2.85251
Sr2MnClO3,-2.61998
Nb2VAs,0.01256
Ce(CoSi)2,-0.71595
MnTe,0.01227
MgH2(ClO3)2,-1.17074
LiHoO2,-3.18182
Be2TlRe,0.52923
CaAlF5,-3.9256699999999998
Li4AlCr3O8,-2.41642
SrN6,-0.24727
ZrBeCr,0.3343
CaTcO3,-2.31719
Ca(GaAs)2,-0.68111
Mn2SbTe,0.29856
TmRh2,-0.7981199999999999
NaScO2,-3.10092
Ba2AlNi3O8,-1.73816
TmInAg2,-0.36074
HfBeSe2,-0.48791
Pr(ZnP)3,-0.62863
BaNdCuBO5,-2.68067
HfTl3,0.26903
SrGePt,-0.94813
CrCuSe2,-0.16144
ErPt3,-1.1050799999999998
BaOsBr,0.77344
Ba3Nb2O8,-3.0406
TaMn2,-0.21358
ZrHCl,-1.1016
Pr2Co2P7,-0.70592
LiNi(CO3)2,-1.3626200000000002
Na3AlF6,-3.31822
FeAgS2,-0.28701
Zr2Te2P,-1.15904
PHF4,-2.09308
MgO,-2.22857
ZnAgAs,0.05851
Li2AgSn,-0.33299999999999996
ZnCu2SnSe4,-0.38737
GaCuRh2,-0.34074
CuP2,-0.12390999999999999
MnBeBr,0.40956
Ba2Ho(CuO2)3,-2.11534
TeRuPb,1.06228
HoTlS2,-1.62251
TlCuO2,-0.6675399999999999
YTiO3,-3.22673
NaGaO2,-2.01443
KMnSb,-0.12437000000000001
KSmTe2,-1.4826700000000002
CaCuO2,-1.8932200000000001
Be2InTc,0.11479
Mg2V3O8,-2.6832
Ba4NaP,0.36209
BaZnF4,-3.27497
IrO3,-0.39751
NiF2,-1.59806
CdAsPd5,-0.3486
DySi2,-0.46293
Sr2BeSb,-0.01277
Ba2Mn3AlO8,-2.2269400000000004
Li2HfO3,-3.03647
HfBe2Se,-0.06531
Nb2SnC,-0.4210100000000001
Li2FeSiCO7,-1.963
NaAlO7,-3.22186
Yb2HgBi,-0.7126100000000001
NpSnIr,-0.5374800000000001
AsCl5,-0.39085
Li4Al3Ge3IO2,-2.38561
ErCoSi2,-0.7358399999999999
K3Co,0.7257899999999999
As3H5,-1.07847
TlAsPd5,-0.30253
Y2AlSi2,-0.73821
K2Cd(AuS)4,-0.63467
TaFeSb,0.58143
KBaHf,1.50395
BaY2PdO5,-2.94659
MgGeO3,-1.80817
Ga2Au,-0.13155999999999998
TbCdF6,-2.93731
Li2FeF4,-2.54496
HfNbTc2,-0.43471
Ca2CdPb,-0.58409
Li2V3CuO8,-2.21938
ThNF,-3.0561
ZnNi3,-0.114
Li8IrO6,-1.85625
BaNdFe2O5,-2.37492
Be2PRh,-0.15985
CuH6(NO)4,-0.34896
ZrRu,-0.68783
Mg(MnS2)2,-0.83016
SrCaHg2,-0.48677
ErMoClO4,-2.68953
DySiRu,-0.79765
CaAgO2,-1.76226
BeTl2Cl,0.07568
Li2NdAl,-0.21786
SrLi(BS2)3,-1.00988
KCoO2,-1.33412
Tb3Yb,0.07896
LiGaPd2,-0.6865600000000001
Li2Ca,-0.01236
Sr2TiBe,0.81353
Li4HfO4,-2.66007
Mg2Pd,-0.56619
Th(CuGe)2,-0.46912
Al2Te3,-0.48681
Ca2BiAu,-0.9391
TiBeV2,-0.0128
Er2PdRu,-0.7539600000000001
Be2ReBr,0.32979
Ca2CoO3,-2.3366700000000002
Bi2Te3,-0.23876
KLiTe,-1.17298
Pa3Tl,0.15446
KGeBr3,-1.08265
Ba2LiB5,-2.8256
CdTcAs,1.16824
TmPt3,-1.11635
Ca2FeWO6,-2.53074
Sr2MnO4,-2.69991
K2NaNiF6,-2.56589
PrY3,0.01676
FeAgO2,-0.94715
HoMnB4,-0.67283
Ce3InC,-0.33979000000000004
SrAcHg2,-0.47015
BeNi2P,-0.28478000000000003
Tm2Pb2O7,-2.29217
DyYAl2,-0.44336000000000003
Sm(NiBi)2,-0.30439
Ag2Hg7(P4Br3)2,-0.13923
ZrAlCu2,-0.37301
Nb3SBr7,-1.05071
LiFePO4,-1.95387
NiAsS,-0.37963
YSnRu2,-0.08332
KLi4CrO5,-2.09338
Ba2PbBr,-1.06587
In3AsSe3,-0.4106
TiBeBr4,1.02495
PrYMg2,-0.1093
Zr2MnBe,0.03677
Ca(CuP)2,-0.59329
ErClO,-3.24911
MnBeNi2,-0.11783
Ba4GaSe,0.10674000000000004
Ca6GaN5,-1.01431
LiBeNi2,-0.07987000000000001
Li2MnBPO7,-2.2483
Ba4BeTe,0.38131
MgBeSn,0.1368
FeSnRu2,0.06039
TiCo2Ge,-0.48138000000000003
BeGa2Co,-0.03435
Lu2GaTc,-0.34556
CrAsRh,-0.1545
TlAgBr3,-0.51425
TbMoClO4,-2.68749
NiTePd,-0.20409
TiAs,-0.69619
Hf2ReIr,-0.79333
BaPbSe,-0.42635
BeHgSe2,-0.06097
LuCoO3,-2.593
MgTaOs2,-0.25434
Li5FeO3F,-2.04684
Cr3InO8,-1.88067
OsO4,-1.00757
TaBe2Fe,0.01281
Li2VO2,-1.88997
ScPaTc2,-0.37868
K5CuAs2,-0.44451
Ba4HfTc,1.47259
Ba4SbW,0.87885
BaCo2Cl,0.31695999999999996
Li3Co2(GeO4)2,-1.66897
Ba2LiV,0.81588
IrRu3,-0.05186
Tb(GeRh)2,-0.8595700000000001
LiNbS2,-1.4282
Tm2S3,-2.23061
InFe2CuSe4,-0.18653
PrCuPb,-0.40362
Ti3SnH,-0.38674
Al2RuPt,-0.88461
TlPd2Se3,-0.38275
BeTcBi4,1.3414700000000002
CrCo2Bi,0.44078
Ba2UCuO6,-2.38082
CrHgF6,-2.0182
Tl3Cd,0.04544
Ag5P(S2Cl)2,-0.30249000000000004
HfCuP,-0.11979
Li6TeO6,-1.91792
Ba3(AsO4)2,-2.43485
LuH2ClO2,-2.21786
Yb2Au,-0.82773
Na4CO4,-1.56675
TbCl3,-2.33072
Ba4VMo,1.6403299999999998
ZnPdF6,-1.77004
Sm2SiTeO4,-3.0671
BeCdIn,0.38478
ErCl3,-2.23799
Re3Se4Cl,-0.45856
NiBiAsO5,-1.21327
TmMgGa,-0.49113
CsTaN2,-1.10491
Co(GeO3)2,-1.31284
Be2CoBr,0.30029
Nb2WSe6,-0.74393
Mn(Sb2O)2,-1.40222
HoBiPd,-0.93963
Pr2AgRu,-0.22295
Sc6FeSb2,-0.61332
K2TaF7,-3.36055
LiCoCuO4,-1.13537
Ba2CrW,1.81192
PmYAl2,-0.43184
Th(SiAu)2,-0.50571
Be2IrW,-0.18605
HoSO,-2.85585
H8(NO2)3,-0.28149
Ho(SiAu)2,-0.48732
SmAgO2,-2.35965
HfSnRu2,-0.59649
Sc5CCl8,-1.95556
AlMo3,-0.22565
BaSnF6,-3.21657
CeCl3,-2.35341
Be2TlHg,0.54787
NaSe,-0.52805
U2FeS5,-1.2641
LiGe,-0.32082
Hf2CuOs,-0.46745
BaNiO2,-1.9886700000000002
K2O,-1.15441
Sr3As2,-0.78745
Th3Mg,0.06938
Nb(SeBr)2,-0.7722600000000001
HoTaO4,-3.51825
TbRh3C,-0.52749
LiFeAs2O7,-1.4368100000000001
Ba2P7Cl,-0.8898299999999999
Ba2CaOsO6,-2.52149
Ta2BeCu,0.25356999999999996
TaTiOs2,-0.5274399999999999
Na2ZnS2,-1.09794
TaBe2Os,-0.060239999999999995
Tl2SiS3,-0.6463899999999999
AlAg2,-0.07057000000000001
TaGa3,-0.1189
MnTePd,-0.09087999999999999
BaTlSb2,-0.35669
BeMoPb2,0.48423
Na2AsAu,-0.52955
YbSm3,0.05296
YRh2,-0.78609
Rb2ZrCl6,-2.07809
Zr(Se2Cl3)2,-0.94148
AsCF3,-1.1974
K2NaFeO3,-1.57508
HgBrN,1.05618
U4S3,-0.9420799999999999
TaPO5,-2.61639
RbBrF4,-1.65484
Ba4SnHg,0.17673
RbLiMoO4,-2.33962
AsCl3O,-0.61765
Sm3Hg,-0.11724
PrDyTl2,-0.37756
Nd2NiIr,-0.53767
ZrAgB,0.79428
BeTlAs,0.36297
AlSbI6,-0.50189
Cu2Te,0.12454000000000001
Sr6Li23,0.00029
Li2MnSnO4,-1.7166
PrSmZn2,-0.35766
DyScSb,-0.8617600000000001
Li4VFe3O8,-1.91108
BaNa2Ga,0.015719999999999998
Cr3Si,-0.2875
Ac2ZnGa,-0.40101
Co(MoS2)2,-0.71227
Li4BeSn,0.12485999999999994
SmCd2,-0.36501
TbAlO3,-3.62484
CaPmCd2,-0.41787
TiNi(PO4)2,-2.24781
RbUO3,-3.14635
LiMgAs,-0.8260299999999999
Te4Mo(WS)2,-0.2666
Sr2InPd2,-0.72915
Ta3TeI7,-0.46293
NaCSN,-0.44714
Pb2SO5,-1.48451
ZrFeCl6,-1.42366
KYBe2,0.76031
Li2AlNiO4,-2.07864
PuNi5,-0.28891
Li2HgPd,-0.39046
Tl2Pt(CN)4,0.13272
V4P2C,-0.7680899999999999
Ti(FeO2)4,-1.77298
Mo2AsOs,0.35585
YTaO4,-3.51711
Cd2SnO4,-1.4441
Li4MoO5,-2.31579
Pm3Tl,-0.22645
ErH3,-0.58281
TlCd(NO2)3,-0.49633
Dy(SiRu)2,-0.84693
BaYCuMoO5,-2.3778799999999998
YMgGa,-0.5433600000000001
Rb3HoO3,-2.1360200000000003
Li3CrS4,-1.00522
SrCdHg2,-0.31098000000000003
Li3Ti2CuO6,-2.51515
BaGaBi2,-0.32921999999999996
YbPPt,-1.2605600000000001
BeTlCl4,0.39757
Ba2TlSb2O7,-1.71856
YTlAg2,-0.27033
BaZn4Br,-0.31894
Tb2IrRu,-0.65769
GeI2,-0.22113
Rb2U(Si2O)2,-2.92186
Ba4InP,0.30296
Li3Fe3CuO8,-1.5442
ScCdCu2,-0.23787
Be2BiBr,0.32235
KHS,-0.8688
Mg2TaBiO6,-2.49126
Li2BeSi,0.01065
Sb3Ir,-0.29894
Sc2GaC,-0.62025
LiBeSi2,0.24488000000000001
MgGeN2,-0.71905
SmRh,-0.77515
Tc2N,-0.21427
ZrMo2,-0.13898
CaYAg2,0.4355600000000001
RbBiF3,-2.5030900000000003
K2LiAlH6,-0.3905
BaMgO2,-2.81832
YbSnPd2,-0.85254
Mn2ZnO5,-1.49163
YbSiAu,-0.81375
TmMgAg2,-0.33255
KLiMnS2,-1.1243
Ce2(Zn2Ge)3,-0.38663
Li(TiS2)3,-1.49102
NaTm3,0.30599
BeFeTc2,-0.04231
YGe2,-0.54964
BPO4,-2.3921
BaCaY,0.78694
TeAuCl7,-0.44498
Ti5Re24,-0.22307
CaNdHg2,-0.47872
Co3SnC,0.0215
BaYF5,-4.1226
BeZnSn,0.37867
CaGe,-0.75026
CeInAg2,-0.28597
TiAsAu,0.01439
ScAlO3,-3.55228
Er4Sb3,-0.96174
PbF2,-2.5073
LaVCrO6,-2.65291
ZnCo3,0.0655
Li3CrSiO5,-2.43891
Li6CrO6,-2.05674
CaNiN,-0.84898
FeSe,-0.09201000000000001
ZnSn3O7,-1.50626
Li2NiSnO4,-1.6812900000000002
V5Si3,-0.43663
GaNi2,-0.31139
NpB2,-0.53086
Y2TlCd,-0.41328000000000004
Ca2Si3Ag,-0.48907
MgZnAs,-0.11258
ZrBe2Pb,0.33473
XeO3,1.3955
Be2TeP,0.7690899999999999
BaTaCuO5,-2.1452
SbO2,-1.08037
RbCaCl3,-2.37332
Sr(MnAs)2,-0.43973999999999996
BeZnFe2,0.00165
InSiIr,0.70236
Ba4SnPt,0.28294
Mg3Mn,0.21472
H2SeO4,-0.68037
Hg3AsS4Cl,-0.15802
U4Si6Tc7,-0.5356
LiTm2Cl5,-1.8478400000000001
BaAsAu,-0.9889399999999999
Ti2N,-1.39649
LiGaCl4,-1.41218
Sc2PdRu,-0.82901
Rb2S3,-0.94242
YbErPd2,-0.97952
BeRuPb,0.53587
CdPt,-0.32802
MgBe2Se,0.29492
Mn3Cr2(SbO2)3,-1.62265
BeHgPd,0.103
Bi2OsAu,0.6845899999999999
CeNi5,-0.37241
Hf2N2O,-2.36247
MgTi,0.21015999999999999
IrN,0.45342
BeCo4Cu,0.30987
Sm2PdRh,-0.8208200000000001
AlSnO3,-1.1138700000000001
Ca3(MnGa)2,-2.36632
BaWCl,0.8232
BeTl2Br,0.14627
KBe2BO3F2,-3.03766
K3SbSe4,-0.92361
BeZn2Ir,-0.17972
Li2AlPCO7,-2.38648
Ba4MgSi,0.49998000000000004
BePPd,-0.06316000000000001
Ga3NO3,-1.51215
Mg4BeRu,0.61273
TmSnRh,-0.9103700000000001
TiRe2W,-0.4974
Co3Se4,-0.28012
TlPt2S3,-0.4849
Hf3Bi,-0.0046
BeTlSb4,0.59199
TlMo2Cl7O2,-1.21921
BeZnIn4,0.60965
Sr2H6Ru,-0.6370399999999999
Te7Mo4S,-0.31081
CaGa,-0.5384399999999999
Pb(SeO3)2,-0.82311
RbZnH2Se2ClO6,-1.18371
YCo3Se2ClO8,-1.35185
BaGeF6,-3.21872
V4GeSe8,-0.67843
BeZnCd4,0.51176
HfNCl,-2.01821
Ba2InHg,-0.11363
TbTiGe,-0.68724
SmRhC2,-0.37582
Li8Al3Si5,-0.04918
Ta2PdSe6,-0.6892199999999999
Rb2Te5,-0.5848
MnInPd2,-0.31454
Be(HO)2,-1.8007400000000002
LiB,-0.18921
BaZnSi,-0.4399
Ca2TlSn,1.3161200000000002
BeZnBi2,0.52769
Hg2W2O7,-1.78836
ZrZnCu2,-0.2461
LiMnSb,0.09951
DyInCo4,-0.16198
CrAu4,0.04337
LiInHg2,-0.07931
Nb9PO25,-2.67483
Tb(CoB)2,-0.58948
V5Ge3B,-0.42118
Fe2B,0.07844
BeZnSe2,0.36765
YbS2,-0.51477
Ba4BiSe,-0.2384300000000001
NpCdAu2,-0.29675
NdPd3S4,-0.99178
Li5TiAs3,-0.7949
Pm2ZnSn,-0.55087
NaBeBr4,0.3482
CePt,-1.1413
Ba4CuRh,0.8583299999999999
Mg3Pa,0.34544
NaMgBO3,-2.62478
Ta2Tl3Cu3S8,-0.72175
LiHo2Rh,-0.5314399999999999
ZrVF6,-3.23382
Ni3SnN,-0.03207
MgCO3,-2.1954
Li4Mn3Nb(P2O3)2,-2.16457
KBaTl,0.15108
SrBeBi2,0.00665
Li2CdPt,-0.21051
Ti2TcIr,-0.86174
TiVW,0.87336
BaGaSiH,-0.46683
CaBeIn,0.08567999999999999
Ba4LiPd,0.52693
Sr2BeRh,0.27322
NdBi,-0.9999
NdH3(CO2)3,-1.5146899999999999
MgSi2SnO6,-2.5874200000000003
Ba2AsAu,-1.077
OsCl4O,-0.52046
Tb2AgIr,-0.67776
SmRh3C,-0.4688100000000001
BeSi2Hg,0.87274
LiBe2Ni,-0.0525
LiMg,-0.03816
ThZnRh2,-0.6882699999999999
BH6CN3F4,-1.24404
LiCaCoF6,-2.94723
Cu2H3ClO3,-0.79884
BaSnSb,-0.15524000000000002
BaAl2O4,-3.30684
ScNiP,-1.0993700000000002
LiCa6Ge,-0.08887
BaMo4(PO3)2,-2.34578
YbYPd2,-0.97277
SmAs3,-0.54372
ReAsCl,1.7336599999999998
Dy2ZnHg,-0.36641
LiMnAsO4,-1.6473799999999998
Se2Cl2O5,0.07381
BeV2Pt,-0.27839
SmRh2,-0.73243
CaHoRh2,-0.71683
Sc2TlOs,-0.32192
Li2TiMn2O6,-2.28118
Ca2Sn,-0.70853
BeSn2Ge,0.37169
PaB3,-0.16449
LiBi(PdO2)2,-1.18986
BaCrF5,-3.39812
Zr2Bi2O7,-2.59193
NaBiSe2,-0.75103
BeInP,-0.12999000000000002
BaSr2Sb,-0.53004
Pu3In,-0.33116999999999996
Ca(CdP)2,-0.62792
Rb3Y,0.57087
ZrTiAs,-0.9773200000000001
InSe,-0.5062300000000001
Zr2Np,0.35322
GaPd2,-0.6026100000000001
PrBPt4,-0.77466
Mo5As4,-0.2366
Rb2Se,-1.1656600000000001
TiTe2,-0.71943
Mn5O9F,-1.78235
Hg3(SeCl)2,-0.29384
Li2LaPb,-0.39731
SrBeOs,0.29347
NbGaRu2,-0.45275
Zr3Ga2,-0.5347
CdHg4C6S6(Br2N3)2,0.13556
YbNdCd2,-0.43212
Ca2MgTl,-0.3354
ScCd3,-0.24456999999999998
Sm4Sb3,-1.06548
BeTe2Br,0.23762
Sm3InN,-1.00047
Tm4In(NiGe2)2,-0.77335
BaAlF5,-3.95434
YAl3Ni,-0.63931
Fe5SiB2,-0.31327
RbPO3,-2.2942400000000003
Er3(AlNi3)2,-0.62574
NaAlF4,-3.39989
TmCdRh2,-0.64172
DyTiSi,-0.6323
BaCuReO5,-1.5513299999999999
Mg(TiS2)4,-1.47902
Pr5NiPb3,-0.54171
LaCuPb,-0.44852
Be2NbFe,-0.03578
BeCoP,-0.00731
RbSO4F,-1.38524
CeHSe,-1.44705
Li3BrO,-1.86243
In2Se3,-0.47992
Cu2WSe4,-0.2326300000000001
ScPd3C,-0.18447
LiErO2,-3.20487
BeSb2Ru,-0.01046
Nd(PdO2)2,-1.76055
Li2GaPd,-0.55998
TlF,-1.83186
YPbAu,-0.72555
TeMoSe,-0.40431
HfNiSn,0.1547
CaCdPd2,-0.62028
Pr(PRu2)2,-0.65462
Ti3PO7,-2.80029
YbGa4,-0.41695
Li4TiCo3O8,-1.89271
CdCl2,-1.11527
MgSc2Ru,-0.33538
Al(FeB)2,-0.37049
K3Sb,-0.49995
Tm2IrRh,-1.04736
SmP5,-0.59296
Ba2NaBi,-0.58065
Ta2BeTl,0.42099
BaZrF6,-4.02618
K2As2Pd,-0.55569
Y2BeBi,0.0273
NaCrO2,-1.8573
SmSbO4,-2.53111
Sr(CoGe)2,-0.47568999999999995
Li2BiAu,-0.45746
BeCdTc2,0.07407000000000001
Rb2Hf2O5,-2.99571
V6OF,-2.5982
Cu3O2,-0.43373
BaTm2NiO5,-2.96865
AlCuF5,-2.7746299999999997
BaGa2Br,-0.43635
Sc(CuO2)2,-1.63168
NaCrH8(NF3)2,-1.56024
CaAgP,-0.18805
NdPa3,0.21595
SiH3F,-0.78054
Pa2SbTe,-0.5433600000000001
LiMnRh2,0.13
PrYZn2,-0.37129
YbB4O7,-2.85417
K2NaBe,0.52582
Ge2Te5As2,-0.04395
TcSO6F,-1.40016
K2RbSb,-0.51032
Na2Zn3S4,-0.92071
Hf5Sc,-0.01784
Be2ReCl,1.09721
KBaW,1.83708
SrCaTl2,-0.49458
K3AlF6,-3.35975
BeNb2Pt,-0.2694
TaSe2,-0.79764
PmInAu2,-0.74002
Sb2Pd,-0.31217
KCeS2,-1.95155
LiBeGe2,0.11819
BaMg2FeH8,-0.43234
Ba4VCr,1.16087
TaBeGa,0.27264
Nb3GeTe6,-0.44627
Rb3(Cu4S3)2,-0.5764199999999999
Zr(TiGa2)2,-0.4940600000000001
Ba2VPb,0.18238
YScO2,-3.16463
Li2NbFe3O8,-1.90083
NdCoGe3,-0.56128
IrPbBr,0.9514100000000001
CaSnAu2,-0.6588
Be2PdCl,0.14069
NaSbF4,-2.64882
TmAl4Ni,-0.56642
Sm3NbO7,-3.4805300000000003
Li2CuSiO4,-2.12296
Ba2MgV,0.77691
YbHfO3,-3.83767
Tb7O2,-3.41534
PtPb2,-0.14731
Pr2ZnHg,-0.35058
Rb4PbBr6,-1.63774
Ti3Pd5,-0.6201
Er(SiNi)2,-0.8145
TiVO4,-2.8461
MgBeGa,0.24711
BaCuBr2,-1.0598100000000001
LiMgAsO4,-2.14242
K4BeNb,1.31649
LaGa,-0.6135
TiAlNi2,-0.63998
TiBe2V,0.07316
LiBePt,-0.22153
ScTiCo2,-0.10905
ScTlSe2,-1.32482
TlP5,-0.04146
FeCo,-0.02277
Be2InBi,0.73538
Li2Mn3SnO8,-1.87792
K2VCuSe4,-0.95065
BaNaNb,1.55655
Ca2As2O7,-2.19066
Dy2CdSe4,-1.54826
Sr3BiSb,-0.53488
Na5CoO4,-1.41788
BeSiCl,-0.019540000000000002
BeTc2Bi,0.26824000000000003
SmBPd3,-0.58181
LaPt3C,-0.27093
Li2CoO3,-1.54045
NaGe2N3,-0.29459
BeIn2Mo,0.38491
Sr2MnZn2(AsO)2,-1.41808
SrSiO3,-2.95436
Sb3Rh,-0.34992
KAlSiO4,-2.97704
CuBSe2,-0.11815
Sr3CrN3,-1.0323
Nd2Fe7,0.05781
Sc3SnC,-0.8580700000000001
Ca2PdWO6,-2.21119
MnGaRu2,-0.19152
CaPtF6,-2.4718299999999997
YBeOs2,0.24824
SnICl,-0.81493
NiCO3,-1.1769399999999999
BeFeRu2,0.03186
BeGa4Sb,0.46046000000000004
VRu,-0.21861999999999998
AuSe,-0.06713999999999999
NaMo2As,0.39414
YbCrO4,-2.7128900000000002
Te4W3S2,-0.22007
BeGaCu2,0.01164
Ba4LiPb,0.23283
TlAuO2,-0.5071899999999999
BePd4Se,0.39383
ZnSi2SnO6,-2.28441
Ba4LiNi,0.75531
SmTlAg2,-0.27129000000000003
LiZr2Tc,-0.20148
Li2TiNiO4,-2.29521
Be2PCl,-0.14849
BeCd4Sn,0.44614
Ba3Si6(NO)2,-2.84246
Yb(SmS2)2,-2.31716
LaIr2,-0.80415
Te3WO2,-1.24884
Al3Ni5,-0.57505
Ca(ZnP)2,-0.76804
HfAg,-0.13312000000000002
LiV2O2,-2.49485
Ba5Hf4S3,-2.03492
LiFe2F5,-2.23263
LiSmAlF6,-3.50227
Sm2ZnIn,-0.4262
BaNbS3,-1.6169200000000001
CuBiSCl2,-0.66387
PrBr3,-1.99646
NaLiY2F8,-3.92952
BeZn2Ru,-0.053229999999999986
MgNi3C,-0.15975
Zn3(PO4)2,-2.0238400000000003
BeInSe,-0.30582
RbGeCl3,-1.395
ScPdO3,-1.30902
LiYSi,-0.65328
BaTlBr2,-1.3660700000000001
VCuRh2,-0.26996
Ba4CoSe,0.57627
Sc2In,-0.39178
GaCuPt2,-0.39803
Nd3CuSiSe7,-1.41561
Si3Ag3(SnP3)2,-0.14832
BaCo2(PO4)2,-2.14917
Fe2C,0.01094
Sm2TeO6,-2.57502
BeNb2Si,-0.13352999999999998
CaZrGeO5,-2.9407799999999997
MnO2,-1.7269700000000001
Li(NiS)2,-0.66037
TaMnBe,0.29233000000000003
Nd2BiO2,-2.74521
BaCrBi,0.58149
Y2GeO5,-3.05098
CaCu(SiO3)2,-2.56387
AsPdAu,0.16857
SrIn,-0.49983999999999995
CaWO3,-2.50977
TmAlAg2,-0.35535
Al3Ir,-0.6862
DyRh5,-0.31438
BaNiPd2,0.014730000000000004
Cr3Ni,0.12602
Ba4CrTe,0.39954
Na2MgCl4,-1.9515099999999999
LiErHg2,-0.34199
CaSi2SnO6,-2.676
KBe2Cr,0.60326
RbSmO3,-2.00034
Li3Ti(CuO2)4,-1.59907
Li2MnCo3O8,-1.57553
K4BeP,0.65587
CeF3,-4.06871
Cd(In2I3)2,-0.5563100000000001
GeMo3,-0.1106
K3Na2LiTeO6,-1.7078799999999998
Ga2Os,-0.13327
TbYHg2,-0.40843
Ni3Bi,0.17613
Li2AlRh,-0.53433
Ho3Pb,-0.27641
Sm(NiP)2,-1.00025
LaPd3S4,-1.05458
Rb(OsO3)2,-1.34555
BeZn2Re,0.20758
SmTh3,0.0458
Te2Mo3(SeS)2,-0.56492
Ac2GaCu,-0.3238
ZrMoP,-0.97677
BeSeBr,-0.28396
Li5Nb2Fe5O2,-1.88726
MnF2,-2.88247
K3Rb,0.00245
SiTe2Os,0.85519
BaCu,-0.12830999999999998
BeGaFe,0.17800000000000002
TlInCl3,-1.06049
Ba2YCo3O7,-2.15235
NdBPt3,-0.9024399999999999
Sn2IF3,-1.93927
ErPd2,-0.67456
NiS,-0.42788000000000004
YbIn,-0.56589
Tm2CdHg,-0.35216
NaCu3O4,-0.94249
CaRe2Si,0.76074
ErCdRh2,-0.63062
NaBeNi2,0.14085
Ge3Sb2O9,-1.61248
Sm3CuSiS7,-1.68664
Li2MnPO4F,-2.37704
PmH3,-0.57706
YbPd2Au,-0.77474
Be2Cu,-0.12596
BaCr2W,0.62027
Cu2Sb,0.04485
Tm3AlN,-1.04873
K2NaTiOF5,-3.23442
Ba4YZr,0.78909
YbHg2,-0.3766
MnFe,0.04716
KBeBr2,-0.42759
YBiPd2,-0.76348
Ti2Al2O7,-2.76226
MgTc2As,0.20611
U2BiN2,-1.26211
K2TiO3,-2.6507
PrInAg2,-0.38197
Na2Pd3O4,-1.00522
Be2VFe,-0.16551
BaCoHg4,0.3427
ScZnMo3O8,-2.35146
NiS2,-0.12356
Zr(MoO4)2,-2.53051
K3Mo2BrO7,-2.20971
TbGeIr,-0.94237
Ba2ScIn,0.01168
FeClO,-1.01452
K2BeTc,1.29959
Rh3W,-0.27845
Y3Sc2Al3O2,-3.6928699999999997
Rb2TeBr6,-1.10774
Th3S,-0.23183
LuZnPd2,-0.81495
SrCaIn2,-0.51844
Er3Al3NiGe2,-0.76851
BaYMo2,0.39695
AlCuRh2,2.5612
BaSi3SnO9,-2.78032
CaLaCd2,-0.4335600000000001
Mn2BeCu,0.13943
Fe2NiP,-0.35027
V2P,-0.75033
Pm2MgSi,-0.29027
Li3SiNi3O8,-1.71747
HoSi,-0.80283
Ba4TlRh,0.61219
Er3Ni7B2,-0.55833
Yb2BiAu,-0.98559
AlTlCl4,-1.48783
SmMgRh2,-0.65108
PrCr2Si2C,-0.39704
NdTaO4,-3.43399
Yb(SiAg)2,-0.30828
Be2NiCl,0.34707
ZrCl,-1.30417
GaSi(MoS2)4,-0.48285
SbAsRh,-0.23049
Li2Mg3Si4,-0.26395
MgH2SeO5,-1.37352
UFe2,-0.25465
NdNiSb,-0.8404200000000001
Tm2CoCu,-0.31318
SrBiBrO2,-2.11552
Sr(NdS2)2,-2.28757
ThGeS,-1.51906
ScInCu2,-0.33555999999999997
Mn3N2,-0.14202
Tb(CuS)2,-0.89143
Ca(YS2)2,-2.31549
TmC2,-0.35002
Be2NbCu,0.16065
SrGaSn,-0.61211
KV5Se8,-0.8168
SmTmRh2,-0.8781399999999999
Rb3Sb,-0.46003
TbAl4Ni,-0.58731
BeCuBi4,0.94371
GePbS3,-0.49627
YMgTl,-0.37693000000000004
Pr3In,-0.29954000000000003
AgAsF6,-1.85523
YCo2,-0.24439
Ba4ScMo,1.29627
Mn2NbAl,-0.23653
AlRu,-0.64653
Be2RuCl,0.03639
Pm2ZnPt,-0.7543300000000001
Cu2GeSe4,-0.16843
Nd2Sb,-0.86544
KBe2Pb,0.9172399999999999
Ti2ZnRe,-0.33889
U2SnRh2,-0.4955600000000001
Ba2InSb,-0.69313
B2O,-0.5976899999999999
KCa(PO3)3,-2.53901
Ho(HO)3,-2.05733
KBeTc,0.9390700000000001
Sr2BeCu,0.38938
UGeTe,-0.52188
TmI3,-1.30079
KGeNO,-1.15079
CeFeO3,-2.4655400000000003
