pretty_comp,encut
Sr(ZnP)2,650
BeCoBr,700
Ti(GaO2)4,1200
MgV2O6,1100
K7LiSi8,1250
GaSiRu2,500
Li2MgSi,1100
CrAgTe2,500
YGaRh2,500
Rb2ZnH4,700
Sr(SbPd)2,500
Mg4BePd,800
PrScSi,500
PmCu2Sn,850
Ba5Nd8Mn4O2,1250
Ba4PIr,600
Ba2SrP,550
FeAs2,750
KBaBi,500
Mg3Si8Ir3,1100
Nd3BWO9,1300
USb,500
Zn4(B2O)3,1300
Ce5Zr3O6,1400
PmSi3,500
K2MnF6,750
LaPPd,1100
DyPS4,650
Al3Pt5,1050
LiBeV,800
SCl2O,1250
LiMgBe2,850
YInPt,900
MgSeO4,1300
TiVW,500
MgGaPd2,800
Sc3Sb,500
TeMoSe,550
BeSnPb,650
Sm3S3N,1250
Yb2Au,600
Nb2Tl2O7,1250
Ca(ZnP)2,650
LiC2,1250
Be2CrGe,1050
RbZnO3,850
Ti2SnC,850
Ba4SiW,600
BeAu2,950
LiTaO3,1250
YGeAu,550
Li2FeSi3O8,1250
NdRh2,650
BaAu2,500
MnGeN2,1000
Ba2Bi6O,1250
Li4SbTe3O2,1300
LiMgAsO4,1300
Zn2In2S5,700
KFeTc2,1050
Mg3Fe3O8,1150
ZrFeP,750
Ti2VIr,600
BaCoGe2,700
ZnP4,700
NdTm3,500
DyMgAu2,600
Rb6C5,850
Li3Ti(PO4)2,1350
AlCrFe2,700
Ba5Mg8Si3,1150
Be2VPd,1050
BeCdCu2,700
HfBe2Tc,1050
Pb3O4,800
Cd(FeO2)2,1150
Ba(FeP)2,800
ScRe2,1100
NdOF,750
CaAlSi,500
Pr3Sb5O2,1300
Ba3V2O8,1200
Ba4SbW,550
Sr3(AlP2)2,650
Ca(AuF)2,1200
LiTi3VO8,1250
TlIO3,800
HgGeO3,800
TiBrN,850
YCuO2,850
NbPd3,850
B2O3,1250
BeMoBr4,950
Tm(CuS)2,600
Mn6O7F5,800
PrPPd,500
Li3TiNi3O8,1250
Y2Re2Si2C,800
FeP4,1000
V4NiS8,650
Rb2Cr(BrCl)2,750
Li(FeO2)2,1200
Be2Zn,1000
Sr2MgReO6,1200
TiTe3O8,1350
Ho3ScO6,1250
Be2ZnTe,1000
TaBe2P,1000
Li4Si2NiO7,1250
Be2SnBi,1000
Hf2CuRe,600
KMg(PO3)3,1300
CdPS3,650
Na2BeIn,600
SrBeIn,650
Sm3(Ge2Ru)2,500
RbAs,500
DyAg2,500
Ba4ReRu,600
Ge3N2,900
TmPaTc2,1000
Er(BC)2,1000
SmDyMg2,750
OsCl2O,700
PuAl2,750
PmDy3,500
Lu3TaO7,1250
MgSnPt2,750
BaSr2Ca,500
BeNb2Cu,700
RbErO2,800
VSi4,1900
Ba4InSb,600
Co2P,950
YMg2Sc,750
NaPaO3,1050
Na3VPCO7,1300
Y2V2O7,1200
ZrBeCr,1000
ScNbOs2,600
AlFe2,800
Mn5CuO2,1200
NaTl2Pb,500
TcSO6F,1300
H3BrO,800
SiO2,1100
NdFe2,750
Cu2SnS3,900
Be2CuOs,1050
Cd2Os2O7,1250
AlH2(ClO2)3,1300
BePW,900
Ba4LaTc,1000
SeS2(NO)2,1300
ScRu3,650
Ba(AgSn)2,600
TiCl3,800
PrSm3,500
BeSn2P,650
LiCrP2O7,1250
YSn3Se2ClO8,1250
NdSmO2,750
BaAsPd,500
LiAl,800
Li2MgSn,1100
HoIn5Rh,600
KNd(WO4)2,1250
NdBi2ClO4,1100
BaPPt,650
HfB4Ir3,700
BaZn4Br,700
CuPd,650
DySnPd2,500
TiBeRh2,700
SrBiIO2,1100
CeCo2,1300
Nd(PRu)2,500
Mg(SnO2)2,1200
MnNi3O4,800
Ca(VS2)4,1000
Li4MnCo3(P2O3)2,1850
CeCoSi,1300
TmBRh3,500
V7O3,1050
PrLuIn2,550
Ca2Sb,500
BeNbIn,950
UNi5,650
Si(O2F3)2,1300
LaTaBe2,2000
Be2SiNi,1000
Ca2MgBe,700
Al6Tc,1000
Er2NiIr,600
KBeTc,1050
TiCoSi,750
ScBeP4,650
ZnSiO3,1100
YBe2Re,1050
WBr6,600
Li2MgSiO4,1300
Sc2InAu,500
BeSb2Ru,950
Sc(BC)2,1050
NaPr2RuO6,1250
ZrTe,600
ZrBe2Nb,1000
CeAl3,1300
Rb3P,500
RbUTe3Au,500
ZnMoO3,1200
Ba4YGe,600
Li3Ni4O4F3,700
Sr5Bi3O2,1250
Be2InCu,1050
Li2FeCuO4,1250
Be2TcRh,1050
Sr(FeP)2,750
Ba4FeMo,650
KHS,650
Pr3In,500
Sn4P3,600
Cd(CO2)2,1300
TiGa2,750
Tm2Mn2O7,1250
Ba4GaHg,550
ThSiAu,500
NaTl2InF6,850
LuSb,500
RbBi,500
VFe2Si,700
NdAl3Ni2,650
BaMgNi2,650
Na2CaBe,600
MnGeO3,1150
MgAgF3,750
BeVCo,650
Na2Zn2O3,1150
Li(Fe3P2)2,1000
BaTiS3,650
KLi3PbO4,1300
KH3O2,1250
Mg2ZrBe,750
TmZnPd2,500
CaInCu4,900
Ba4SiP,650
Ho(CrGe)6,1100
LaBeCd4,1900
YbSmZn2,600
BaMgV4O8,1200
BeHg2Ir,1000
YbHgPb,550
Pr3SnC,500
CoReO4,1100
Li3Sb(PO4)2,1300
ScBrO,800
LiCd2In,750
VCuO3,850
ZrI2,850
SmYAl2,500
Ba4TcIr,550
YbGaRh2,550
SrGaSnH,650
FeSi2,700
Ba4ZnRh,650
KNb(AgSe2)2,500
Be2RePt,1150
KHCO3,1250
TmMgHg2,600
BaSbAu,500
Ba4LiMo,750
KAg2SbS4,600
Ba2InTe,600
PrH3,600
Ag(TeMo)6,500
Ba2YbReO6,1200
ZnCN2,1250
Ca(MnN)2,850
KrF2,1100
BeFeRu2,650
WO2F,800
HfIN,900
LiV2(PO4)2,1300
LiCuO2,1100
KTl,550
Be2CdBr,1050
Lu6Sb2Mo,500
SrPIr,700
BeTcBr,1000
Be2CoPt,1000
MnSnRh2,500
Na2HgO2,800
YSbPt,500
MgBeSe2,650
TbBi,500
Ni4B3,800
CoB3W,1050
Ca2AlSbO5,1250
LuBrO,800
Rb2CdCl4,800
BaNaY,600
YbHfRh2,600
YbNiSn,700
Cu2SiS3,950
AsPtRh2,600
V2CrMo,500
Be2FeW,1000
Hg2P3Br,500
GaSi(MoS2)4,650
LiNbP2O7,1300
Cr(BH)6,850
Co3C,1000
ZrZn,500
Pr4Se3N2,900
U3Si2C3,900
CrPd3,900
Ba2TlSn,600
Ca2Sb2O7,1250
ZrBeZn,650
SrTa2H2O7,1200
AsPd2Rh,900
KRuO3,800
PrFePO,800
BaYAgTe3,500
CaBiB,500
Cr5B3,1150
Ti(CoO2)2,1250
HfBrN,850
PuSn3,750
BaYPd2,500
LiI,800
LiBePb2,850
PbO2,800
MgBe2Sn,1000
Y2ZnS4,800
BaCu2SnSe4,950
Na3FeO4,1200
TlGeF3,600
MgAsOs2,650
Tb3CuSiS7,650
USeO,850
Ca2PbAu,550
RbNdTe2,500
YbPrMg2,700
BeSi2Ir,650
NbTl3Se4,500
Ba3WCl2O5,1300
Ba2BeGa,600
Ba4PCl,600
ScCd,500
DyIr2,500
Na2ZrSi4O,1250
BaSrSn,600
Tm2Ge2O7,1300
LiIn2Pd,800
LaH2,1100
Zr2CuPt,650
KBeTe2,650
Rb2LiGaF6,1250
BaMnS2,700
Co2P2O7,1250
BaPb2BrF5,1200
Y2MgGe2,650
CdBiSe2Br,650
SmCoGe,750
Sm(DyS2)2,700
YbCd,500
TiNb3O6,1250
Ti3PO2,800
BaTlP2,500
BPO4,1200
Ba2LuCu3O7,1200
Sc2NiPt,650
Sr2BeTl,650
Be2HgRh,1050
Ti2PbC,850
Y4Ga2Pd,700
Ac2ZnGa,600
Sr2ZrO4,850
Li2GaSb,800
BeTl2Ni,650
VO,750
YbMgSi,1050
Ca4P2O,700
DySe,500
K2NaInP2,750
TlGaS2,850
Tm2Sn2O7,1250
ZnN,850
Li5Fe2Ni5O2,1500
ThH2,600
Al3Te3I,500
InB2As,500
Cu2Sb4S3,950
Tm2V2O7,1250
BeHg2Mo,1000
Hf3C,700
Cu(RhS2)2,800
Ta2BeMo,950
Sc3SnC,800
ScCd3,650
ZrRh,650
HoZnIn,650
Na2Zr(CuS2)2,600
Zr2Al3,900
Mn2ZnO4,1150
NiBi,600
Ge2W,500
NaMgCd2,650
CeO2,850
Be2AsSe,1000
LiScHg2,800
RbAlF4,700
NdGeAu,550
AgClO2,800
Si2Ni,600
V4GaSe8,650
KSi,500
SiBO3,800
Ag2SeO4,1200
HoH2,600
TaCu3S4,550
BaTlCl,600
TiBe2Ir,1000
BePtSe,900
Ba4PPt,600
LaCdAg2,2000
Ba4NbTl,600
ZrAlNi,900
Sr2VO4,800
VSiPt,500
Ti5Sn3,1050
LiCo3(OF3)2,1300
BaTbMn2O5,1200
LiInTe2,800
Sm2V2O7,1250
AsOs2Cl,600
Rb2IN3,1200
CeCdAu2,1250
LiGa2Rh,750
KCu4AsS4,950
BeGaHg,650
NdAl,500
RbSnS2,600
Sr2Co(ClO)2,700
Li2MnBr4,800
SmC6,1150
ScGaPd2,500
NpTe,700
Pd7Se4,1150
Pm2InAg,500
P3Ru,600
Rb3Mn2Cl7,850
GeAsSe,800
NiRuO3,800
Pr(AsPd)2,500
BaRhO3,850
Nd3GaO6,1250
YbGa,500
MgTi2O5,1250
Li3Hg,1200
KFe2S3,800
Be2ZnGa,1000
Mg2Cr3O8,1200
Mg4BeV,750
Li2HgAu,800
KReO3,850
Mn2ZnN2,850
Ba3SbN,900
Sm(SiIr)2,500
BaZn(SbO2)4,1200
Te5Mo4S3,650
BaTaTe,500
LiSmS2,800
LiIn2Rh,750
TmAl3,500
VAsPt2,550
Nb2Bi2PbO9,1200
NdScO3,1250
HoPtF7,1300
UBi2,550
HfI3,500
HfOs2,1050
Ti2Cu3(TeO2)3,1250
Ca2Ti6N2O,1250
CaMnBe2,1050
BaGeTe,550
Ba4SiBi,600
Na3FeBAsO7,1250
FeSi5,1000
Y(CuSi)2,650
Cd3(BO3)2,1200
Sc2TlAg,550
Li2Ti(CoO3)2,1300
Ba4CoPd,550
PrCrB4,900
GaTc2W,1050
ScPaRu2,600
Fe5SiB2,950
Ca3Au,650
MnBeRe2,600
Li4Mn3Sn5O6,1300
Sb5IO7,1300
LiLu2Al,650
Te4Mo3S2,650
Be2CoGe,1000
BeNbOs2,650
DyB2C,1200
InTeBr,600
TmThOs2,550
TePt,600
U2CrN3,900
HoB2Ru3,550
AsF3,1250
Dy2NiIr,600
MgCoGe,650
Li4V3Fe,1250
Ba2SrW,500
K4BePd,1000
NdMn2,1400
Ba(FeO2)4,1200
Te4Mo3S2,650
Rb2RhF6,850
Hg3Se4O5,1250
CaAcHg2,550
TaCo2,500
VFeSe,700
LuTiSi,550
NaInS2,600
Mn2BeHg,600
CaHfZn,500
IrI3,500
Ba4CuRe,550
Tl2CS3,850
SrCuP,600
CaCo2O5,1200
ScSiRh,1100
Yb2C3,1300
Mg3Ti,1000
Sr2TiBe2,1050
Mo3W(SeS)4,650
ThRh2,700
VSbRh,500
BaReN3,1300
Lu2Ti2O7,1250
Ba4ZrSc,500
RbAl,500
KPb2,550
Tm(HO)3,1250
NaBeNi2,650
Nb3Se4,600
BeRu2Pb,1000
In3Sb,600
Ta2BeAs,650
K2HBrO,800
LiGaPdF6,1250
TiMnCo2,650
CoTc3,1150
TbAg2,500
ZrBRh3,650
Ba2ScIrO6,1250
Yb(SmS2)2,750
CeNdI4,900
K3Nb3(BO)2,1250
Na2BeNb,650
SrSnP,600
TiFe(BiO3)2,1150
TlCuPSe3,950
AlVFeCo,600
CaYRh2,650
FeSn,750
BaMgHg2,700
Ba4NaSb,700
Tb(CoGe)2,700
TaTe2,500
In3AsSe3,650
CeMnNi4,1600
Sr5(SnAs3)2,750
AsPdCl,600
K3SbSe4,500
SiIr3,500
K3VCO8,1200
U(CuGe)2,600
CaCr4O8,1200
YbLuPd2,500
KZnP,700
SiB3,1150
Na6FeO4,1200
Li2FeSiO4,1250
LiAgF2,1150
Yb2CuRh,650
Tl7Sb2,600
LiMnBe2,950
Tl2S5,650
YCdAg2,650
Ca2BeTl,700
Ba4HfTl,550
Li5Mn3Cr2,1250
HoInCu2,600
LuSe2,500
CuSe2,950
Ca(ClO2)2,1250
Ba4MnBi,700
MgAlF5,1150
KAlO2,1250
TaBe2Se,1000
Ta4GaSe8,650
HoCuSn,850
U(Mo3S4)2,650
Mg(SnO2)4,1200
Tb3Ni,650
NaB5,1100
Li5ReO6,1250
BaMgSe4,550
ZrCdRh2,650
Be2CrGa,1050
HgPd,1050
BeRe2Br,650
NaBe2Si,1000
TlF,550
Y3Al3NiGe2,600
Na6S2ClO8F,1300
BaYMo2,500
Li2Mg2MnFe(P2O3)2,1300
In2S3,650
BaCaZn,650
LuAgPb,550
MnSe2O5,1300
Ba3MgRu2O9,1250
BaTe3,650
U2Cu2As3O,950
V2P7,700
CoB3Mo,1050
Ba2Hf7O6,1300
NdMgAu2,600
K3In,500
CeNbO4,900
SrTaBe,950
KBS2,700
SbCl3,850
NiH,600
PrI3,500
La2PI2,1100
Li2Fe3F8,1200
NaLiHg2,650
K5CuSb2,600
Cr7Se8,1050
Ta2CrFe,650
BeSi2Sn,650
CdAsIr,500
Ga2RuRh,500
Ti2BeCo,650
BeCrHg,1000
ThSe,500
Ca2BiAu,500
SrCd,500
MgTi(GeO3)2,1300
Ni(WO4)2,1250
YBe2Cr,1050
Ti3H2O7,1250
TiInCu2,650
BaHfSe4,500
BaY2F8,1200
Rb3BAs2,600
Sr2CaIrO6,1250
GaSi3,500
MgH2SO5,1300
IrCl3,800
Na2CO5,1200
BaTiHg,500
YVO3,800
MgSc2Ru,650
LiAl2FeO6,1200
Be2VCd,1050
MnNbP,700
Li2Mn3O6,1250
Be2PtSe,1000
LuSiRh,650
Ta3(OF)5,800
Li3CrSiCO7,1300
Tm2ZnHg,500
Er2MgTl,600
VAu2,600
AgPtO2,800
Mn4As3,1100
U4Si6Tc7,1100
K2LiAlH6,800
Sr3Ga3N5,1250
ZrNiBi,550
NiBiB,600
Dy(FeB)2,750
Rb2GeF6,700
Te7Mo4S,600
NiTe2,600
YCuPbS3,700
NdIr2,500
Be2VNi,1050
Rb2PdF6,750
Cu4Sn,950
MnSi,750
BiTeIr,500
Ca2InPt2,1050
AcMgTl2,600
BaAg2SnSe4,600
B2S2O9,1300
LiNbNiO4,1250
IrOsW,500
PuRu,700
Ni2SbTe,600
PmHo3,500
Ba4BeFe,600
BaFePd2,500
Fe3Co,800
Rb2ZnCl4,850
Li2Mn2CuO6,1250
AlAu4,1100
LiCd2Ni,750
YbZn2,700
Na2Ti2As2O,800
BeCuSb,650
Cu3BiSe2IO8,1500
Ge2Te5As2,500
HfMnO3,1200
U2Mo,550
K2Li4Pb3O4,1350
VCdAgO4,800
K3V3O8,1200
SrBeMo2,950
AgBi3S5,850
LaDyRu2,1950
Zr2BeIn,1000
YZn2Au,500
SrGaGeH,650
MgSbPd2,750
K2Al2Sb2O7,1200
TiCr2,700
Er3Pd2,500
Ti2VSe4,600
YbRh2,650
Pr2SnHg,500
InI4,1250
BaO2,750
TbLuHg2,550
ZrSnPd2,850
Al2PbO4,1250
TmHg3,650
Na2Si2S5,1300
Sc(IO3)3,1300
YbMgTl2,650
PrGaAu2,550
LuGeIr,700
Cd(AgI2)2,600
Ba4TiFe,700
Sr3Tm,500
NaVSe2,500
Ba2NaOsO6,1200
SmMgCd2,650
CdSiP2,500
Na2Ta4O,1300
BeSiCl,900
Sr2B4Rh5,1000
Ba4CoCl,600
MoPH3O7,1300
MgIr2,750
BeNbIn4,700
Li6PS5Cl,1250
Yb3SiO,800
Mo(WSe3)2,600
EuTlS2,600
NbBi2Mo,500
AcSe3,500
Sr(AlH)2,600
SmHo3,500
Na3MnAsCO7,1300
Tm2OsPd,500
KAlH6(OF3)2,1300
AlCr(WO4)2,1200
InCu6ClO8,1100
Ba4ZnCd,600
Mg(CO2)2,1300
Sc6Al6Ni7,650
TlBi2,500
Ba4LaZr,1750
NdGaO3,750
Ca2HgAu,550
PrInAu2,500
CrN2,1250
Ba4NbSi,600
YPd3,850
TbAlAg2,500
Ba4TlFe,700
Te6RhCl3,850
Al2FeS4,650
BeSn2Cl,700
Nb3Sb,750
Ba2H6Ru,700
LiNiP,800
ZrNiSn,600
YTlCd,550
SmSnAu2,500
AcH3,650
SrLiSb,1200
CaIn4Ir,700
ZrOs3,550
SnPb,500
Mn2N,900
Li2BeSiO4,1250
BaNd2CoS5,650
Zr2CuSb3,550
HgPPt5,850
YAlO3,1200
AsOsPt2,500
DyS2,600
Ho2ZnIr,550
SmCl2,800
Si3Ag3(SnP3)2,650
Ba3SrI8,1200
NpO2,850
Ba(BeN)2,1000
PrTeCl,600
PrCd3,600
K(CoAs)2,600
YScZn2,500
NbAsOs2,550
Cr2S5,650
Ba2MnIn,650
KBeBi4,700
BaTlHg,500
Be3Zn4Si3SO2,1300
Mg2SiO4,1250
SrMg2FeH8,700
K2SrTa2O7,1200
MnNi(BiO3)2,1200
NdZn,500
BeReCl2,550
SrCdO2,700
Pr3I,550
MnBeV2,600
Cd3(ClO)2,800
RbP(HO2)2,1250
BeGeRu2,1000
BeInGa,650
LiCrFeO4,1250
LiBeSi2,700
BeCuRu,650
Li4Cr3O8,1250
YBeZn2,650
YbFeGe,750
LiBeNi2,650
HoBi,500
TeMo2Se2S,650
Tm3P,500
LaOF,1100
BeInPd,950
CaCrF5,1200
BiClO,750
InNiAs,600
BeRhSe,700
WSCl4,850
Ba2CoSe2(ClO3)2,1350
Ca2CrN3,900
ZnCdS2,600
BeTlBi,950
MgFeRh2,650
DyVB4,900
ZrBeTe,900
BaYCrCuO5,1150
Sr2BeCl,950
Ti3Si,550
AcInHg2,500
HfB6,800
YbMgGe,700
CuBiO2,1050
TlV5Se8,600
Li2MgBr4,1100
BaNa2Pd,650
CdSb2Se3Br2,500
NbCl5,900
Li2HgPd,800
YClO,750
MgTlRh2,650
LiScMo3O8,1250
Ti3Br,600
Sn2BSe,600
Mg4As6Rh7,700
Sr2UNi,600
NbO2F,800
BaCaRu2,600
Mg2B4Ru5,650
Zr2Al3C4,950
DyBr3,650
Al2OsPd,500
Tl2Hg2PdCl8,900
TeRh,650
NaHo2F7,1200
CaBePb,650
HfScBe2,1050
Na2SnBAsO7,1300
PaO3,800
Er3SnC,500
LiNdO2,1250
Rb2TeBr6,650
Ca2NiIrO6,1200
CrCo,500
Th(TeI)2,500
LiPm2Ir,700
Zr2Be2Tl,1050
YLuCd2,600
NdNbO4,1200
RbFeF3,700
Be(GaPd)2,1000
BeCdSi,650
Li3(CoO2)4,1300
Li2SiNiO4,1250
BeAlH5,600
Li2BeBi,800
Ba2HgBi,500
LiEr2Ir,500
Mg3Au,1050
NaCuO,1000
LiVIr2,500
ThAl3Ni2,650
Yb3Sb5O2,1350
HfBeSi,1000
Mg3Ni2O7,1600
AgPPt5,850
Ba3Y2Cu2Pt,1200
BeIn2Pd,950
Li2MgCu2(Si2O)2,1250
NdCd2,600
Sc3P,500
KYbS2,600
VPbClO3,800
Rb2Be2O3,1250
CoF3,1200
BaZnSn,750
Ca3Mn2(SbO)2,1250
Yb3N2,950
TeO3,1100
KAgCl3,800
CdPt,650
CeAu,1350
Li2Ni2SbO6,1450
LiTi2O4,1250
Yb2SO2,800
RbNaS,650
ReRuBr,500
HoCd3,650
Ag3SeNO3,1250
Ho4(Ga2Co)3,800
CaCrO4,1100
LiAg2F4,850
SbPt,600
KVP2S7,650
Al(CuRe)2,850
SiNi,650
SnAs3,500
TaTe5Pt,550
Be2VFe,1050
MgZnAu2,600
TbRh5,650
U2SnPd2,550
Zn2Bi3O8,1250
BeBiW2,950
Y2MgSe4,700
Ho3AlC,800
K3Mn2O8,1250
Lu2ZnIr,550
Co5B2P,1000
Rb2NaTiF6,750
ScCu,600
Li2VO3,1250
Mn2Os(CN)6,1150
BaBiO3,1150
BeCo4Os,650
ThN,800
Nd(GePt)2,550
LiSc2Ir,500
USb,500
TaFeO4,1200
YLuCu2,650
NdCo2,500
NaLiTe,1100
Ce(NiSn)2,1450
RhO2,800
TiBeCo2,650
Li2PmAl,750
BaSnS2,650
ZrTi2,500
UIr2,550
Yb2AgPb,500
Na3CuO2,1050
Rb(MoS)3,800
OsBr4,800
Ag7NO6,1200
Na3VSO3,1200
Li2VFeO4,1200
V2CdO4,1150
HfFeGe,750
Ba2AlSn3O8,1250
HoTl3,500
RbDyO2,800
TbRh,500
K3Tl,550
Y2ZnAg,500
Er2Co2P7,1000
Na2Mg5(P2O3)2,1300
Li5V(SiO4)2,1300
InAgTe2,500
Ba4GeSb,700
Pm2CuPt,600
Fe3(OF2)2,1200
Ba4ZnSn,650
BaSiP2,500
Rb8N3O,900
MgPSe3,650
Ca(PIr)2,650
USeS,600
Tb4C5,1150
CoH2SeO5,1250
Yb2S2O,1200
Ti3Se4,750
MgBe2Cl,950
Sr4Al6TeO2,1250
ZnSnSb2,700
CeNiSb2,1600
Hf2FeTc,500
CdN,850
Be2SiRu,1000
WF4,750
NaTbO2,1100
Na2BeHg,600
VZn2P2O9,1300
YbLuRh2,500
BaNaLi2,750
BeCu4P,900
ZrP2(HO3)2,1250
CdPd5Se,900
CaBe2Re,1000
LiLu2Ru,500
RbAuS,600
KYb2F7,850
YbSiIr,600
Na2HgAu,550
CoSI,500
BaNbTl,500
Mn2BeNi,650
Ce(AlZn)2,1250
Ag3P,600
Tl2PtCl6,850
AuCS2Cl3,1100
SmZrF7,1250
TmFe2,750
Ca2TiSbO6,1250
InP3,600
Ho3TlC,550
Mg3Pb,1000
AgSe,500
Be2FeBr,1000
Tb5Ge3B,750
SmYAg2,550
Sm3Sb5O2,1300
Dy2CdIn,500
BaPbCl,600
EuCuBi,850
BeZnGe4,700
K2MgH4,600
Y2S2O,800
SrInPt,500
GePbO3,850
Pr3Al,500
BeGaTe,650
BeVFe,650
Nd2SnS5,750
CePt,1350
AsS,650
ScBeCl,950
BaZnP2O7,1300
Sr4MgCr2(SO3)2,1200
K2LiAlH6,800
Hg2AsSe,550
Ba2NbTl,500
ScBeRh,650
Mo2AsRh,500
ThCl4,850
Be2SnSb,1000
Na8PO3,850
Ba2VTe,600
Sr2ZrBe,950
PrB2Rh3,500
Yb2InHg,500
Y2Ge2O7,1200
PdSCl,900
Li2FeSiO5,1250
BaBiW,500
LiYS2,800
LiSi2NiO6,1200
Mg2TiIrO6,1250
Pr(BOs)2,750
Yb(CoSi)2,600
PuB,700
Na4HgP2,700
LuSiAu,500
Bi2PdO4,1100
Ca(Cu2As)2,900
Li3Co,1200
LiSbRh2,700
TmPt2,850
BaLaSi2,1200
Rb2CoO3,1150
TbYbHg2,550
TiBe2Pd,1100
Tm(SiOs)2,600
CeScGe,1350
Sc3P2,750
Sc2H5,750
KBa2Si,500
Ca2CuB2(HO)2,1250
Sn(GeO3)2,1250
K3LiP2O7,1300
U2Fe2P7,1000
Be2HgBr,1000
LiLuAu2,750
Th6FeBr5,700
Rb2In3,600
KBaSe,500
UNi2,650
SrGeO3,1200
BeIn2Br,650
Tm3Th,500
TbInAu,500
Li2DyTl,750
V3Cd,500
ScBeCd2,1000
BaYCuBiO5,1150
Mn3ZnN,850
CaCO3,1250
LiCoO2,1200
HfBeTe2,700
RbTbSe2,500
CoW,500
CdCuSb,600
GeTe7As4,500
CaMgAsO4F,1250
UAsS,600
BeSbAs2,700
Li5V2Ni3,1250
Yb3DySb3,550
RbSrCO3F,1200
BeMo4Se,950
K2HfF6,850
CaCdAu,650
BeTlW2,950
Be2Ni2Ge,1050
ScSiRh2,600
BeZn2Cl,600
Mn3InC,500
Mn3As2,700
SCl2,850
TiO,850
CdAg2Au,600
SmFePO,800
ScAg4,900
CaBeHg2,1000
Li2CdGe,800
SrBiBrO2,800
Eu3(AsPd)4,500
HfScRu2,500
CaBe2Ni,1050
AgSbO3,1200
Na2AlZnF7,1250
KNa2As,500
NaScBe,650
Sr3Mn4O2,1250
NaCu3F7,1500
NaAg(NO2)2,1350
TbSi2Ni,650
Sr2FeCuSO3,1200
Li2MgAu,800
Ca(Cu2P)2,1650
NaSmTl2,500
K2Ag4Se3,1100
Cu2GeS4,600
BaCa(CoO2)4,1200
Sr(H2O3)2,1250
ZrH2,600
Y2HgPb,550
Tm2O3,1300
BeReCl4,950
PrH,600
K2Al2O3F2,1250
Sc5NCl8,750
Mg2BiAsO6,1250
Sm4FeSe6O,800
PrMnGe,700
DyCoSi2,700
KBrF4,850
ScGa3,600
LiCo(CO)4,1250
NaHgPO4,1250
HoB4Ru,800
Sr3(InP2)2,700
Ba4TaTc,550
SmSe,500
RbAu3Se2,550
YPt3C,750
BeTcHg,1050
LaPt2,1600
CsK2Sb,900
Sm2SCl4,850
CdSe2O5,1250
CuH4(IO4)2,1250
CaRe2Si,550
BeRhCl2,950
Ba4ZnPt,650
BiMoRh,500
U3Se4,550
Mg3Ta,1000
AgBi(PS3)2,650
Sr3AsN,800
BeSbCl,900
InPt3,800
Mg3H4O5,1150
SrMgSn,650
Pr(SiNi)2,650
AcGaTe2,500
BeTlNi4,650
Mg2CoO4,1100
Li3MnO2F,1250
Ba3Ti3(BO)2,1300
Sm3InS6,850
HfAsPt,500
Ca(MnSb)2,600
SmLuMg2,700
SnP3,600
USeO5,1250
BeSnSb,700
ZrBe2Sb,1000
TbYTl2,500
Sm3Ag,850
Ca2IN,900
UPb3,500
CdCuH8(ClO)4,1100
V3OF7,1250
Hf2Te,650
Pr3Cl,800
LiMnPd2,800
V(ZnN)2,900
ThAl2,500
Na2CrCSO7,1300
CaAu2,600
GeSb,500
NaReAs,500
BaIF,650
NiH2(ClO3)2,1200
Th(SiPd)2,500
CdB2As,500
SbF3,750
Th2TeN2,850
BOsO3,750
Rb2NaMoF6,850
Na2BePb,600
GaH4NF4,1200
EuPd2,900
BaSrTa,500
U3Bi4,600
MgMnF5,1200
MnBe2Tc,1050
MnF2,1300
Mg9Sn5,1100
BeGa4Se,600
Be2GaFe,650
Ba2TlNi2O7,1200
Rb3YO3,800
Te2W,500
TbSnAu2,500
NaH3CN4O,1350
Ca3Hg,600
Ba3SnO,800
SmMg,650
Li6Br3N,1300
Ba4BeV,650
YAl,500
SrAlGe,500
Li2Ti2S5,1250
Mn2CoSi,700
AlSbO3,800
Be2VTe,1000
NaTeF5,1300
BaCaTi,500
Cd2B2O5,1200
KCu4S3,900
ZrBe5,1100
YbPmPd2,500
Ba4TiHg,550
Li2PrO3,650
YbPd,500
Fe3H4(OF4)2,1200
Li2InAu,800
DyPt2,850
DyBi2IO4,1100
KHO,850
Nd2Co6Sn,500
TmCd3,650
PuB4Mo,1100
CaBeSb,650
BaNiPd2,650
CdCl2,600
TiBeRe,650
Al4CN3O,1200
LiBe2V,950
BaSnBi,550
HoSnO3,800
MgTaIr2,650
SiH6(NF2)2,1250
TlSn2Br5,550
BeTlCd4,1100
BaInPb2,600
Yb3Mn,500
LiCoPO4,1300
V2OF5,750
Mn3W3C,1350
Na2RuO3,1250
NdBPd3,500
LiEuO2,1100
KrF2,550
LiMnP2O7,1300
Ti5Si4,800
Ba4SnRh,600
Ba4CoPb,600
NiN,850
Tm(CuSi)2,650
Na6CoSe4,950
KMnTe2,500
K2NaCrF6,850
LiRh2Pb,700
Sn(SbTe2)2,500
TlCdCl3,1000
BeNiIr4,650
TiZnPd2,500
As(IF2)3,1250
BaMnPb,600
B4Mo,1050
BaAg2GeSe4,550
FeBiSbS4,700
Rb2B2Se7,750
SrP3,600
Co5SnO2,1300
PmRuO3,800
Nd(SiAg)2,550
Co(SiO3)2,1300
TlPdF3,650
