pretty_comp,kpoint_length_unit
CaBeHg2,105
LiCoS2,55
Sc3InB,70
CrCdF6,45
Li5Mn3Nb2,50
BaGaBr2,95
Th3B,110
NaYbF4,55
MgAlSi,140
NbNiP2,95
ZrB,70
CdN,95
Li2BeSe,65
Na3MnSiBO7,55
RbTmO2,50
Li2CeSb2,65
LuGe2,80
U3P4,60
BaH4(BrO)2,50
Ti3N2O3,80
ReTe,75
TiSi2,105
Li2NbOF5,45
LaMgHg2,100
CaSbF6,50
SrCaSi,70
Zr7(NO2)4,50
Cd(FeO2)2,50
LiCoGeO4,55
V2CrMo,85
LiMnAs,60
CaAg,105
Ge3N4,55
YbSbPd2,70
LiCa6Ge,80
ErTaO4,45
ScCu3,80
ThTi2O6,50
Be2CdPd,95
NdVO4,45
BePbCl2,90
Ba4GeBi,95
Sr2BeCo,70
LiV2O3F,60
VO2,65
SrBeBr2,50
VP,70
Mg(MnS2)2,50
Si3N4,50
RbC,50
YAg2,95
Sr2Li2Nb4O3,50
Li3MnF6,45
BeGa4Se,110
Li2MgAu,65
InCu,85
Mn2As,60
Li6VCrP2(CO2)2,50
SrCaBe,85
Pr(SbOs2)2,75
LiNd2Ir,100
BaAlCoCuO5,120
MgSn(BO3)2,45
Ce(CuSb)2,70
LiRuO2,100
CF2,40
BeTc2Os,85
Fe5Co,55
LiZnPO4,50
Be2SnSb,140
Li6I3N,50
Be2GeW,80
LiMnSe2,50
Nd5CuSe8,55
Ba4MgIr,75
PH6(NO)2,45
Ba(MgSi)2,90
ZnSi2NiO6,55
CrOF3,45
Ba2NbCl,90
ReSnAs,105
Mn2V2O7,50
Ba4SiGe,95
LiPt3,110
Tm2AgPt,80
ZnCu(GeO3)2,50
K(BH)6,50
Dy2V2O7,50
PrPt2,75
PrAl4,80
NiGe3,95
TlInSe2,55
NaTaO3,60
PmNi3,100
LiLuF4,45
Y2GaHg,90
ScBeCr2,85
KPuO3,65
Ba2SbAu,85
YbRh,85
Y7FeI2,65
BeTe2Pd,150
SrHfN2,55
Be2ZnIn,115
MnF3,45
BaNpO3,60
MgBe2V,65
Ba4MnCo,70
LuTlS2,55
HfZn2,105
Ho5Si3,95
TiFeH2,85
Li8SiO6,50
Li2CaSn,60
Mn2BeTc,65
YPbAu,70
Sc2BeTe,85
AsPtAu,90
CaCO3,45
Na3In2P3O2,45
BaBiSe4,95
Li5TiV3O8,60
BaYCrCuO5,120
La2BeZn,70
AlV2C,95
Ba2SbI,65
SeS,100
CaBeGa2,110
NbCl2O,55
Fe3O4,80
K4BeP,75
AlCuCl4,45
K2VCuS4,50
MgV3O7,50
K2Co(H2Se)2,60
BeHgBr,90
Y(NiGe)2,75
SrClF,45
YBe2Sb,65
Mg3BH2O5F,50
MgBeGa4,165
In2IrRh,80
HfBe,65
TiInCu2,65
Sm2TeO6,50
BeTc2Ni,95
TeF6,50
DyMgTl2,115
Be(VPd)2,70
MgScHg2,85
Ho(CuSi)2,95
Na3Rh(N3O)2,50
Tm2Al3Si2,70
Na2ZnSe2,55
LuRhO3,85
Ca(SbO2)4,60
ScGaPd2,70
MgFePO5,60
K4I2O,45
SrScBe,65
LiFe6O7F5,45
Pr(FeGe)2,60
AcMgTl2,120
K2SnBr6,55
Nb4FeSi,105
MgAl2O4,50
Ba4SbOs,110
YHoRu2,85
BH9(CO)3,50
NpGaRh2,65
Ba2InHg,85
BaZrTe2,95
YbS,50
Be2PtCl,70
BaIr2Pd,75
PrAg2,120
NaPrO2,50
Rb2Sn2O3,50
ErPd3,105
K2MnSe2,55
Ti3V2O9,50
Sm3Zr,90
Ag3BO3,55
PrSiO4,55
Ba3BPO7,55
TaAlO4,50
NaH,50
AsPW2,100
Sm3Ag,95
ScNi2,60
PrMgPt,95
Mo3W(SeS)4,55
Tm6CoBi2,65
NaB(H4N)2,45
TlCdS2,90
CeSi2Mo2C,95
Sr2Ge2Se5,50
Ni3Pb,65
TiAsSe,70
NaBe2Cu,140
BOsO3,110
Er5Sn3,95
KNa2BO3,50
SnCl4O5,50
LiSmGe,100
BeFeOs2,95
K3VO4,45
GeTe7As4,95
Sb3O7F,90
NdMgNi4,100
U3Ge,65
Li6Fe(O2F)2,50
DyBC,110
BaSe3,80
Sn2OF2,50
Sr(CuSb)2,95
TlCuIr,70
Cu3(MoH)2,45
KBeTe2,130
Sm(SiIr)2,95
NaHfBe2,95
MnBe2Te,75
TbInNi,105
HgBiPb2,85
UCuAs2,75
V4SiSb2,70
Li2WS4,50
Sr5As3O2F,50
Y3Al3NiGe2,105
TiBe2V,45
Na3FeBAsO7,55
Sc2GaCu,60
Li2Ti3V3O2,55
Be2CoBr,65
ScBeIn,45
Be2MoPd,110
LiBeTe2,150
ThAu2,105
NaLi3(H2N)4,45
Sr(GaTe2)2,55
LiCaSb,65
MnNb2As,70
NaYbSe2,90
Tm(GeRu)2,60
Be2NiMo,65
CaAsAu,95
HoB2Os,65
Pm2AgSn,85
NbVO5,50
BeV2Cd,55
ZnPd5Se,75
LaH2,70
BaCN2,45
KIO3,55
NaCdPb2,85
Li2ZnCl4,55
Pr3MnBi5,140
Nd(AsPd)2,110
NiS2,70
Sc(Fe2P)2,90
Na4SnSe4,60
XeF2,45
Rb2HgO2,45
U4S3,70
DyGa3,120
Yb2MnS4,80
Pm2ZnSi,95
LiCr(CoO3)2,80
In2HgTe4,65
BC2N,50
Ni(AsO3)2,50
Ba4HfIn,105
Li2V2F7,45
KPrS2,50
Na6SbO5,65
HfGaPt,100
Be2CdBi,130
V3Ge,80
Ba2H3I,55
Ca3SiO5,50
Zn2As2O7,50
Mn2CoIr,95
Ho7Co6Sn23,100
LaBe2V,50
ZnSiNiO5,55
LiY2Ag,75
Ca(AuO2)2,45
Te2Mo(WSe2)2,60
Zr2BeW,90
LiCdAs,85
Ba3Nb2O8,45
Al2Te3,65
RbSrCl3,55
BCl,50
DySe2,110
KSrVO4,50
BeTcSn,100
AlTlF4,45
BeCuTc,80
KAuN2,50
Ba4CoTc,75
InTc3,60
CeZr7O6,50
Ba4TaRu,75
Dy5Pb3,75
TbVO3,60
YCuP2,110
TiRh,75
TcPt3,65
Ba4HfTi,75
Cr3GaN,70
TlSbS2,60
Mg3(Ni10P3)2,95
YbCoC2,80
PmHo,75
Ca2ScBe,95
TbAlCu2,75
CaAl4,105
PaTlO3,50
TbFeSi,85
BaSi2Ir,100
BeIr4Pt,85
Ba3SbAs,65
Ba4CdSn,85
BaLaTi4,60
Ba2CoBr,65
Sc2Ni2Sn,110
IrOsW,70
YbCo3B2,70
Ba4FeCu,70
CeSe,80
SrBeV2,80
Ba4ScBi,80
Na2CuAs,65
PaCu2Sn,70
Te2Rh,95
BaNiP2,85
CS2NClO2,45
MnNbAs,75
ZrBeTl,80
Mn(InS2)2,60
NaAgF4,45
CoTeMoO6,50
Sb2TeSe2,65
NdAgAu2,105
Tb(FeGe)2,85
Na3Co,75
Cd(CO2)2,45
CaTiF6,45
ThNF,50
HoAlAu2,65
BeTl2Ir,100
CdSnPd2,100
LiSbWO6,55
HfBeTc,55
YSiRu,80
YBe2W,75
BaTbMn2O6,65
NiPb,70
LiBeSe2,115
Tl2HgTe,75
BaSc2Cu,70
Be2RhCl,50
BaVBr2,70
Sm3Mg,60
YMnBe2,65
LiV2(OF)3,50
MnCo,90
Cd2As2O7,50
K2PdF4,45
HoLuRh2,105
Ba4CdSi,85
MgBe2B,95
Tl(CuSe)2,95
Mg2CdPb,90
LiGa5O8,55
SbPbClO2,55
Ba6Hf5S6,65
Nd(SiRh)2,75
Ba2GaHg,120
TaBe2Re,70
NbGaFe2,55
BMo2,65
Li2MnSn(PO4)2,50
CoSi2,90
H4CSN2,45
MnNi3O4,55
NaNiO2,55
Ac2SiPd,95
K2NaVOF5,45
MnV(PO)4,50
V3Mo,90
BaNbBr2,100
Rb3Tc,60
DyAl3,105
LiTi2Be,85
YAgHg2,80
MnCo3O8,55
V3(OF3)2,50
Be2Ni2Ge,65
PuBrO,55
Ba4SnPd,90
K2CuF4,70
TiAsRu2,65
V4O7F5,55
Li3Ga,95
VZn2O4,75
Cr4OF,60
Ca3(GaN2)2,60
Ba6ZrO8,50
DyMgAg2,105
ZnFeRh2,100
Li2V3F8,55
NbSiAs,105
LiPd2Pb,85
SmSi2Rh3,115
LaB2Ir2C,95
Ba2TlCd,115
K3YF6,45
Ba2BrN,50
ZnTcMo,70
Rb2Fe4O7,65
Ho2MnOs,60
BaBePO4F,45
FeP,60
Ba4CoSn,105
YPt3C,90
Sr3LiTa4(OF)2,60
PaPbAu2,90
Ba3TiS5,50
P4S7,50
CeZnSbO,70
Na3In,95
ScAgO3,60
DySb,60
TbGaPt,125
Rb4YbI6,65
CdBiO3,50
NaO2,50
KCaBe2,95
Li3Mn3Fe2,50
TmThTc2,75
Cr2SiO4,50
Y2BeOs,95
Sr4MgCo2(SO3)2,65
Th(GePt)2,85
TcMo2As,85
CaCrF5,55
Mg3In,100
Li4Mn3V3Cr2O6,45
As3W,120
BeCoBi,105
Ca(ZnP)2,60
Be2PtAu,105
TbAu,110
Ba4MgSi,75
Ba4GeRh,80
LiCaAs,55
NpN,50
FeNi3,50
NaBe2Sn,125
Y2RuRh,110
Ba4CaFe,90
ZrCd,105
Mg2VO4,45
Nd3GaC,85
Ca(Mo3S4)2,70
TbCdF6,60
Y2ZnRu,80
TmSi3,135
Ba(GeRh)2,70
NaBe2Si,170
BaCdO2,55
HfBe2Sb,100
BeNb2P,65
ZnCuPt2,100
DySi,100
LiTl2GaF6,50
Sm2SCl4,50
RbSbS2,55
PmBi3,95
KAl(SO4)2,50
Li5FeF8,45
BrClO,50
LuPO4,45
ScSiRu2,80
Na4CO4,50
YHfBe2,80
Ba4CaOs,95
LiB,90
Mg2H4Ru,75
AgSbS2,55
TiMn2O4,55
Rb3Zn,60
Mn2CrCo,65
Li2TlAu,115
MoAsW2,75
ScBeW2,65
HoCoSi2,120
CeIn5Rh,110
Ba2YTlFe2O7,65
Ba4HgMo,80
HoLuAu2,95
Na2ZrSi4O,50
LuSb,60
LiCu3,100
HoErRu2,85
EuGe2Ir,115
BaHfNi2,100
Cu2SnSe4,60
Sr2H5Rh,50
TaIr,110
Na2PdS2,60
NaH,40
ZnSiRh2,85
BaHfHg4,100
K3NbSe4,50
CeMgAg2,60
SrSe,55
Re3Pb,95
ErMn2,65
VGePt,70
Tm5(ReO)2,55
KTi2Be,60
K2NaFeF6,45
Ba4HgSe,65
Li2CeGe,95
NaPr2IrO6,55
Al(FeO2)2,55
Ti(CoO2)2,50
TmIr,125
IClO3,75
K2NaCd,90
Ce(NiGe)2,60
MnCu3,60
Ba2TaBr,90
YbIn2Au,110
CaMg2Ni9,95
LuPd,125
Hf3Zn3N,80
Na4CO4,45
La(HO)3,45
Li2Mn(CO3)2,45
TaAsAu,70
HfGeB2,105
PrPS4,60
LiSmS2,50
Mn2P,50
NpMn2,65
Ba4Na(BN2)3,45
LiTaGeO5,55
Sr5P3O2F,50
NbGaPt,90
PuTe,55
TmGa3Ru,95
Yb(GeRu)2,95
ThSnI6,60
Be2Nb,70
BeRuRh2,60
RbAuF4,40
MoF3,55
RbMoO3,100
BeGeN2,55
SmPd,80
PrAlSi2,115
ZrI3,115
Cr3Ni(P2O3)2,55
Fe3(SnS4)2,55
Na2BeFe,95
NaBeIn,65
LiGe,70
NiHO2,55
Cd(InS2)2,65
YAu,125
NaCaBe2B2O6F,45
BeNbCu2,105
Zn2CoN2,50
Be2VBr,85
ThNi2,85
LiBeCo2,60
SrF2,45
ErNiSb,60
ScTiO3,50
Be(TcTe)2,65
ScTlAg2,130
Tm2CuIr,100
Y2Ge2O7,45
CrWO6,60
Li4V3Si,50
NdP5,80
LaCo5,60
Ho2C,85
HfC,65
Cu2NiSn,100
Ba4YGe,85
Ni2Ag3O4,95
UBi,55
K(MoS)3,130
LiGeBO4,45
Ba(NdSe2)2,55
ScBeOs,110
Si3H,65
HoInPt4,95
WSeS,55
CaZrBe,45
ReH3,130
YAgS2,55
SrIn,80
Be2GaFe2,60
Be2InSi,140
Al2O3,65
Li2Ni2BiO6,60
Si3W,120
Hg2P3Br,60
Be2NbIn,95
Li2FeSiCO7,55
CdIn2O4,55
PrCo2B2C,85
Li5V2Ni3,50
Zn2In2S5,55
MnAs,55
InTe,110
NaTl2MoF6,45
NdI2,105
Rb2PdCl6,50
CuSe2Br,55
Y3AlNiS7,55
MnSbAu,65
Be2CoSe,100
TeAsOs,75
Be2PbBr,130
Na3Rh,70
LiLuPt2,90
In3Ge,130
KO2,55
SrAl4Sn3,75
K2Pt,50
Y2MgTl,85
NpO,70
CaV4,50
YbO2,45
MgMn(GeO3)2,55
BeCoCl4,75
Sm2Zr2O7,50
TiO,90
ZrS2,55
RuN,65
Y2SiO5,45
TlAsPt5,100
Al3Cr3(SbO3)2,50
Rb3TlF6,40
LuInPd2,95
Nb2Tl2O7,55
Li2Cu2F7,65
UGeTe,85
CaO,50
BaHg3,135
USiS,70
ErTaRu2,95
Cr2GeC,65
BeRe4Si,95
Rb2GeSe3,55
TiInAu2,70
K3BrO,50
PrPt,80
Sr3Ge2(BO)6,45
YTaBe2,70
Nd2C3,90
BaLiSe4,110
Be2ReSi,105
LiSb3P2,50
PuS2,85
BeMo4Se,85
Nd3Si2S8I,50
NaEr(PS3)2,50
BeTc2Pt,100
SmDyMg2,65
Zr2ZnAg2F4,50
Er(CoSi)2,65
LiTiMnO4,50
MnBe2Nb,50
NiRuBr2,100
ScClO,50
CeCo2,60
CeAl,85
Ti(BeOs)2,70
Sb2Pb2O7,60
HfSiO4,45
PuClO,50
LiN3,45
K2TaF7,45
Li2PmAl,65
LiMg2Pd,100
SmBi3,115
Ba2YV,90
BeNbTl,65
Li2BeSi,85
YbSbAu,95
Ba(CuO)2,50
Ag8S,75
U3MnSb5,100
Dy2Te5O3,50
Be2CuGe,95
HfSiMo,75
YCoF5,50
Tb(Fe2P)2,60
U(GaFe)6,60
BeCdSb2,150
Li2FeAsCO7,55
Mn3Ga,80
TiFeO4,55
Be2FeBr,70
Ho3InC,105
LuAgO2,50
Mn2FeO6,60
RbAgO3,120
Tm2CuOs,80
YF3,45
BeGaPd2,85
K2AlPCO7,45
Li5SbS4,60
DyAg,95
CoHg3,85
BeVIn,75
SmCdHg2,110
Cu3AsS4,95
CeIn3,95
Rb5SiAs3,90
DyZnGa,95
BeSnPb2,95
AgPPt5,100
Li2SmIn,70
LiAu3,70
CoSbO4,55
NdTlSe2,55
VZnRu2,80
Li3BiO3,55
H6PbCBr3N,70
V4ZnS8,65
BeCo4Hg,75
BaClF,50
ScNbOs2,70
Ca3(CoO3)2,55
Ba(CuS)2,60
SnBO3,70
LiSbS2,60
OsO4,40
ThCu2,95
Na4BeAlSi4ClO2,50
Li4Cr3Co3(NiO3)2,55
ThRu3C,75
EuCu,100
Sr4ZrBe,65
Nd2CdHg,110
YBe2Fe,80
PmCdHg2,115
Er3PbC,65
Ca6In2NF,80
ZrPbF6,45
Ba4TeBr,80
BeCr2Co,85
PrBPt3,110
YAl2,105
Li4Ti3Fe3(SbO3)2,50
Na2BeIr,120
Sr2BeRh,65
CaTiPO5,60
Be2TcPb,95
Ba4ZrIn,90
Ce(AsRu2)2,55
Sc2Ni2P7,65
Tm2NiRu,110
ScAlCu2,70
GeAs,75
Li2NbFe3O8,50
BeInCu4,130
UV2,85
MnBe2In,45
Ga3PO7,50
RbHfAgTe3,75
Li2Ti3CoO8,50
SrLi2Pb,60
TmBi3,105
ScBeIn,75
Tl3Fe,105
U3O8,55
Y3BrO4,50
PrRh,80
Rb3Hf,85
USi,70
SrSeO3,50
Ba4InIr,75
AgPtO2,55
Zn(NiS2)4,75
HfGeS,85
BaTlP2,105
YbPO4,50
MgBe2Tc,100
Sc4TiBe,85
TbGa2,100
Li3CuF6,50
SnBrCl,70
Ba3In2O5F2,50
Ag2PdAu,95
Sr3AlO4F,45
LiP2WO8,55
RbAc3,95
ZnCoF6,50
Ga4Bi2O9,55
DyInRh2,75
NaYbO2,55
ZnCdPt2,105
ZnSbF6,60
Bi4Te3,95
KHCO3,45
SrBe2W,100
SmZnRh,90
CuBrO2,50
Tl4CdI6,60
BeBiMo,55
GeH3Cl,45
Tm2MgIn,95
WO3,140
Ba5Nd8Mn4O2,50
Ti2BePb,85
NbCo3,70
InCuO2,45
LiTiPt2,75
MgPbO3,70
K4Fe2O5,50
Tm2CoOs,75
NpTe,50
Zn2SnSbO6,65
Cu3NiH6(ClO3)2,60
LiAl3,65
DyP5,60
Ba4SiTc,80
SrHIO,55
Pb2S(O2F)2,45
VCoO4,45
H6RhN5(Cl2O)3,45
Ba4CoBr,90
Ba4NaGe,85
Be2VCr,45
Be2BrCl,70
FeTe,65
LiMnNiO4,60
BaBiPb,90
LiMnP2O7,50
VZn2SbO6,50
Yb3Ag2,115
Sn5O6,55
La3InC,100
Nd2V2O7,60
YHgPd2,80
BaCa(SnO2)4,75
Ni2HgAs,90
Sn2IF3,55
CuBO2,45
Ba4SiOs,115
AlGaPd2,95
TmIn3,125
TiBeW2,95
GePbS3,60
Rb2NaInF6,45
Cr2FeS4,60
CeSm3,80
Be2CoTc,60
KCaCO3F,50
Eu(Mo3S4)2,85
U2Ti,75
Ba4MgTl,85
Mn4CrO8,55
CaFeWO6,60
ZrFeP,60
Sc2NCl2,95
RbErSe2,55
TmAl7Au3,90
ZrN,75
RbNiBr3,60
Mn2Au5,60
YbPd2,95
BeNbPb,55
BaDy2CoO5,70
Ti4AlN3,70
Pm2CuRh,105
Nd5As2Cl,45
Li4MnF7,45
Sr2GeS4,85
NdCu,95
K2TiBe,50
Ho6ReO2,50
TiAlCu2,90
SrBeBi2,85
ScGaCu2,70
TiSiRu2,50
NbAu2,120
TmAlRh,85
Ba4LaTc,60
ScZn,90
Sr2MgUO6,45
SmFePO,85
Pm2ZnRh,80
Ce(Fe2P)2,50
Li2RhAu,50
V2P7,65
Ba2GePb,100
NpCdPt2,70
HoSbPt,70
MnCo2Ge,60
Mg4BePd,135
Na2VO3,50
Zr3Ga2,85
KRb2TiF6,40
PbSe2,65
VFeO4,55
Fe3Ge,75
SrCaGe,70
Be2MoCl,75
KAg3Te2,65
Sr2TiBe,55
CoRe3,80
YVF5,45
MgSn3,105
BaBOF3,45
BiSbO4,45
LuHfRu2,90
Zr3Pt,115
As2Ru,55
ScSbRu2,60
Li6PS5Cl,55
SrN6,45
AlPO4,70
SmMg2Sc,90
HfH2,65
Ga2TeSe2,55
TmNbRu2,85
TaMnAs,95
Li3Ti(NiO3)2,45
KBaTl,70
NbRu3,110
ZrTcCl,90
Lu2AlTc,100
K2Ge2Pb2O7,50
Ba4TiV,65
As2Se3,60
K2NaInP2,60
SrAu5,110
MoW3S8,55
Er5Sb3,125
As2O5,55
Al2W,75
RbBe2F5,45
AlFeRh2,65
Rb2PbO3,55
TbSi,100
HfInPd2,70
YClO,45
Ba2SnBr,85
K2TaBe,105
Mn2BeV,80
HoIr,120
K2RhF6,45
Sr2BeSi,70
NaBeSb,65
NaCu2As,80
BaNa2Tc,70
MgSnIr2,85
ZnBr2,50
YbPaRh2,90
BePdRu2,85
YbInAu2,100
ScBeNi2,95
LiBePd,80
Ba4NiCl,75
H5PbCI3N2,80
Be2FeBr,100
BeRePb4,80
K3Nb,60
Zr2BeGe,65
USiSe,55
BaNiRh2,65
Mo3I,100
Pr3Pb,110
Li2CuAs,110
Mg(CoS2)2,55
NaOsSe2,70
ThTeAs,75
PrW3,90
Er3InC,100
BeGaAg,90
Li2InIr,100
AlVFeCo,60
Ba4GaTe,90
LiCrP2O7,45
YbBRh3,95
YbIn2Ni,85
Li3NbO4,50
LiMnCuO4,55
Sr2MnCuSO3,65
Ba2SrW,65
Pr2NiO4,100
AsOsPt2,80
NaLaBe,65
ErHO2,50
TmTe,100
AlOs,115
SmHo3,65
BaZn(SbO2)4,75
K2TcCl6,55
Be2SiTe,100
ScBeRu4,105
K2Sn2O3,55
DySe,80
Sr(NiGe)2,70
InBiO3,55
CdNi3N,75
BeCrTc2,95
KTiBe2,60
AgPdO2,55
Tb3NbO7,55
BeSi2Sb,105
CaAgBi,65
LiBe2W,110
Mo3H,75
CaHgO2,45
TaBeGa,75
Te2AuCl,105
Na2PtSe2,60
Rb2LiAsO4,50
Ba4NaW,70
H5NO,45
NaSnO,110
AgHO2,60
Mn3N2,80
MnRePt,95
BaSe4Br,120
ScC,95
Sr5Bi3,70
MnIn2O4,60
K2Sn,65
MgMnO3,80
Nd2Sb,100
Fe2P,80
BeSeBr,105
CdHgPd2,65
LiNiP,110
LiAlSe2,55
KCaAl2F9,50
MgTaRu2,70
MgBePb2,125
Sc(FeSi)2,65
ZrBe2Ru,85
BaNd2CoO5,85
YbHg2,110
Y(SiPt)2,85
YInRh,115
Pd3PbC,115
Ba4SiW,95
CaAlSi,100
MnAsPt2,80
Ca7Ge,80
KP(HO2)2,45
Ho(GeRh)2,75
NiN,65
YCuO3,120
Nd(SbOs2)2,75
BaSn2Se,115
Yb(Mo3S4)2,70
Be2ZnTe,120
BeVSe,60
LiY2Os,70
Nd(AsRh)2,95
KSnO2,50
RbTiCl3,125
Si3Mo5,100
NpSnIr,55
NpGe3,95
Tb5NiPb3,90
Be2CoIr,50
Be2VCo,85
NbWSe4,75
Dy2ZnHg,75
LiAlAu2,115
YScBe,50
RbErO3,70
Be2GeBr,120
Li2NbAs,85
BeReSi,115
BeTl2Te,105
AlInCl4,50
AsRhW2,80
PmInAu2,110
Li8Bi2Pd,50
Ce(CoGe)2,60
LiLa2Os,70
ZrBe2Cd,75
HfMgAu2,75
BaPAu,95
NdOF,45
Sr4CaMn2(SO3)2,65
Sr3GaO4F,50
SnO,50
BeTlW2,70
SmMoClO4,50
Sr3(AlN2)2,55
Ni4W,80
BeGeSb2,150
BeH2,50
RbTa(GeO3)3,50
ZnPd2Au,70
BeZnIn4,140
Ca(BiO3)2,75
Sr(GeRu)2,90
Ba4PbCl,70
Ba4YV,65
V2Cr3(SbO2)3,55
Be2BiSe,145
Li2FeO3,55
EuPd,80
PdAu3,65
Ni(BO2)2,55
SiAsPd2,80
Cr3O8,60
Mn3Al,60
Dy2Si5Rh3,80
SiRh,100
Ca2SbMoO6,60
Mg4As6Rh7,75
Co3Bi,60
Pr3Si2S8Br,50
Be2SiMo,60
MnSb2F2,45
H8NF5,45
PaSnAu2,70
CdAsPd,80
BaNa2Re,75
Sm2Sn2O7,50
Ta2NbRu,95
Ba4CuSe,90
Na3PaF8,45
Dy2MgSi2,85
Rb2Ag2GeS4,50
TaFe2Ge,105
BeNbTe2,65
Na4CoO3,45
LiAl5O8,45
CaYBe2,85
Tm2ZnOs,80
RbYbS2,75
Na5SiP3,65
V3Pb,80
Dy2Sb2O7,60
P2Pt,70
Tm2MnOs,65
RbIrO3,95
SmP,60
K2RbPt,65
CuH6BrN2,50
LiZr2Re,80
RbPbIO6,50
Li3Be,75
Ba2Cd(B3O)2,50
NdTa3O9,50
ErCu4Au,90
Rb2U2O5,85
U2AuF,45
Ti2Cu3(TeO2)3,45
K3H5Pt,50
Er(CoB3)2,65
Zr2Cu,70
YBeBr,55
Be2ZnCo,50
HfRh3,105
ZrI2,55
NaSc2Be,60
SmTaO4,55
Be2BiMo,100
Y3Tm,80
USeO,55
LiBIr,95
KCrS2,55
CrAgO2,45
TaPbBr,100
DyCo3B2,115
LiH2BrO,55
Na2YPCO7,50
HoInPd,115
NiPbF6,50
Na2O,45
Be2HgRu,55
CdB2Xe,50
CdBiClO2,50
LiVFeP2(O4F)2,55
Ba4HfBi,70
BaRu2Pt,75
HoSO,50
ThI2,110
CeSmO2,60
LiBeN,50
V3Pt,105
Ba4MnTc,70
ScInCu2,65
Pd2O,105
BaH2O3,55
Zn(PtO2)3,60
Th3As4,60
Hf2ZnRe,90
LaFePO,60
Be2GaFe,80
Y2HfBe,65
HfBeNb2,65
TlSb,105
BaSrIr2,100
LiIn2Rh,75
NaBe2Ru,80
Be2SiNi,105
Tb2B2C3,90
LiFe3O4,55
Y(BO2)3,45
SrPt2,75
Be2FeRu,95
TmIr2,100
Li4BeRu,100
LaMnSbO,50
H7S(NO2)2,45
RbCS(OF)3,50
PbCl4,50
MgSc,70
TmAu,135
CaTl2O4,60
ZrCl,55
MgIr2,115
Tc3Rh,100
YbNi2,95
Y2CdPd,95
BeGa4Te,120
Li2GePd,80
Rb3AsSe6,60
LuCoC,105
KNbS2,50
Ca5Au4,110
Al2Si2O7,45
GaReAs,95
Th(GePd)2,95
Ca2HfO4,55
Ta2NiS5,65
SrClF,45
LiV2O2F3,55
Sm(AlAu)2,120
Sr(BIr)2,85
UPb,60
CoTe,65
Na2HgSb,80
MgAsOs2,70
VAsPt2,85
Mn3F8,50
Y2ZnSe4,65
Mn2Au,65
SmBi2IO4,60
LiBePt,65
Ag2PdCl4,55
NaScTl2,100
ErInNi,120
YSnRh2,65
Sc6Al6Ru7,80
Li2MnPO4F,45
Zn(InS2)2,60
ErCuGe,100
SCl2,45
Tm2C3,90
LuAlSi,80
CuSnRh2,65
SrN2,60
LiAlO2,45
KHfCuS3,65
Ba2CrBi,75
UAs,45
HIO3,45
LiCe(CuP)2,80
TeRuSe,70
HfBe2Pd,95
TiGeRu2,55
BeHgPd,110
Li2CdHg,85
MnNiP,55
BeZnSi4,150
RbCaAs,55
Rb4SnO4,50
NaSi,65
AlTc2Pb,100
Li2FeO2,45
BaNaScSi2O7,50
BaYMnCuO5,115
Sr(InAu)3,110
Dy3GaC,95
LuMgPd2,75
ReN2,100
Ta2Tl3Cu3S8,50
Ba2TaBi,90
SmB2Rh2C,100
KBe2Bi,125
Mn5SnO2,55
SmTiGe,65
Ce(AlGa)2,60
H8(NO2)3,45
BaBrCl4,70
YbZnAu2,80
CaAsH5O6,45
Sc2In,95
FeO,65
Na2Te2O7,50
Te3W2Se,60
MgCrO2,60
Al2Bi2O7,75
YBe2Nb,75
CeGa3Pd2,70
SbP(OF3)2,45
NaMnBi,60
LuAl2Ni,85
DyBi2IO4,60
Mg2H2O3,45
Tl5Se2I,80
RbLuS2,55
Hf3Pt,70
Rb(CoS)2,85
PrNi,100
LiTbHg2,70
ZrCl4,50
Yb3Sb5O2,100
BePb2Cl,75
HoCuS2,60
YSiRh,80
Rb3Pr,75
Na2H6PtO6,45
BaNd2PtO5,50
Zn(CrS2)4,60
K2LiAlH6,50
ZnCr2O4,50
Sb3Pb,155
NaTmO2,50
SrBe2Cr,60
Ca2AlCoO5,65
TbCuPb,100
Hf3SnO8,50
ZnCu,95
YRh,120
Sm2Ge2Ru,55
Nb2Co2O9,55
TbMoO4F,50
SmYTl2,100
Hf2CuOs,70
Sr(CoAs)2,70
Be2FePt,55
Ba4SnHg,85
EuSe,85
Li2HfO3,40
K3Sb2N2O6F7,45
CaBeNi2,90
AlNi,95
Re3Ru,90
HfBeSi2,80
Ho(CuO2)2,50
K2RbAs,85
KSO4,45
KFe(MoO4)2,55
Ca2Co2P7,60
Rb4NO,55
YHo3,85
P3N5,50
Ge3N2,65
BeOsPb,50
LuTh3,100
Ga2S3,55
K2ZrSi2O7,50
Li4CO4,45
Li3Ni4O4F3,80
ZrB6,75
URhS3,60
BeCdTc2,105
Ce3AlC,95
TiBiRh,95
CdP4,60
BaPr(CoO3)2,105
SrLiSb,65
Er2MgAl,90
SrCu3(Sn2O)2,75
Lu2MgAl,105
Mo5As4,75
Ca2YBiO5,55
Ca(CoGe)2,55
TaAsBr,95
Ca(GeIr)2,75
Pb3O4,55
ErGe3,120
AsRu,70
Ba4NaMo,90
BeGaCu2,70
Ce(SiRu)2,60
ThS2,55
YGa2Ni,75
Ti3Zn2O8,50
ZrBeNi4,95
LiZnN,55
Ta4BeV,85
MgTe,60
UAu2,90
NdPb6F5,45
